PROPERTY_TYPE,ROOM_TYPE,ACCOMMODATES,YEAR_MONTH,ACTIVE_LISTINGS_RATE,MIN_PRICE_ACT,MAX_PRICE_ACT,MEDIAN_PRICE_ACT,NUMBER_OF_DISTINCT_HOSTS,SUPER_HOST_RATE,AVG_REV_SCORE_ACT,PERCENTAGE_CHANGE_FOR_ACTIVE_LISTINGS,PERCENTAGE_CHANGE_FOR_INACTIVE_LISTINGS,TOTAL_NUMBER_OF_STAYS,AVERAGE_ESTIMATED_REVENUE_PER_ACTIVE_LISTINGS
Boutique hotel,Private room,3,2020-05-01,100.000000,110,419,199,9,22.222200,84.100000,,,100,1533.266667
Boutique hotel,Private room,3,2020-06-01,100.000000,110,419,199,9,22.222200,83.200000,0.000000,,212,3781.266667
Boutique hotel,Private room,3,2020-07-01,100.000000,69,420,164,10,20.000000,80.375000,6.666700,,150,1225.312500
Boutique hotel,Private room,4,2020-05-01,100.000000,150,459,233,6,16.666700,96.833333,,,2,62.375000
Boutique hotel,Private room,4,2020-06-01,100.000000,150,459,232.5,6,16.666700,96.833333,0.000000,,5,209.375000
Boutique hotel,Private room,4,2020-07-01,100.000000,69,460,189.5,7,14.285700,97.000000,25.000000,,120,2179.900000
Boutique hotel,Private room,5,2020-05-01,100.000000,189,375,282,2,0.000000,50.000000,,,0,0.000000
Boutique hotel,Private room,5,2020-06-01,100.000000,190,375,282.5,2,0.000000,50.000000,0.000000,,2,190.000000
Boutique hotel,Private room,5,2020-07-01,100.000000,188,375,281.5,2,0.000000,50.000000,0.000000,,1,94.000000
Boutique hotel,Private room,6,2020-05-01,100.000000,150,625,520,3,33.333300,89.666667,,,5,901.666667
Boutique hotel,Private room,6,2020-06-01,100.000000,150,625,520.5,3,33.333300,89.666667,0.000000,,26,4770.666667
Boutique hotel,Private room,6,2020-07-01,100.000000,150,625,520,3,33.333300,89.666667,0.000000,,21,2880.000000
Bungalow,Entire home/apt,1,2020-05-01,100.000000,47,151,99,2,0.000000,72.000000,,,31,780.500000
Bungalow,Entire home/apt,1,2020-06-01,100.000000,49,151,100,2,0.000000,72.000000,0.000000,,31,810.500000
Bungalow,Entire home/apt,1,2020-07-01,100.000000,150,150,150,1,0.000000,,-50.000000,,1,150.000000
Bungalow,Entire home/apt,2,2020-05-01,100.000000,51,194,121,21,47.619000,95.000000,,,456,2661.571429
Bungalow,Entire home/apt,2,2020-06-01,100.000000,51,195,121.5,21,47.619000,95.000000,0.000000,,437,2632.428571
Bungalow,Entire home/apt,2,2020-07-01,100.000000,50,196,118,18,38.888900,92.588235,-14.285700,,409,2566.166667
Bungalow,Entire home/apt,3,2020-05-01,100.000000,90,181,152.5,5,0.000000,87.750000,,,119,3072.200000
Bungalow,Entire home/apt,3,2020-06-01,100.000000,90,180,152,5,0.000000,87.750000,0.000000,,109,2688.000000
Bungalow,Entire home/apt,3,2020-07-01,100.000000,76,180,123,6,0.000000,86.200000,20.000000,,124,2630.666667
Bungalow,Entire home/apt,4,2020-05-01,100.000000,75,651,201,22,27.272700,96.812500,,,506,4922.909091
Bungalow,Entire home/apt,4,2020-06-01,100.000000,75,649,200,22,27.272700,96.812500,0.000000,,488,4975.227273
Bungalow,Entire home/apt,4,2020-07-01,100.000000,98,401,168,16,31.250000,97.071429,-27.272700,,334,4220.062500
Bungalow,Entire home/apt,5,2020-05-01,100.000000,103,600,188,15,40.000000,95.916667,,,286,4356.533333
Bungalow,Entire home/apt,5,2020-06-01,100.000000,102,599,187.5,15,40.000000,95.916667,0.000000,,333,4940.266667
Bungalow,Entire home/apt,5,2020-07-01,100.000000,102,360,163,13,46.153800,96.454545,-13.333300,,241,3493.230769
Bungalow,Entire home/apt,6,2020-05-01,100.000000,70,807,284,20,20.000000,92.117647,,,422,6957.434783
Bungalow,Entire home/apt,6,2020-06-01,100.000000,69,699,275,17,23.529400,92.800000,-13.043500,,464,8518.350000
Bungalow,Entire home/apt,6,2020-07-01,100.000000,70,524,229,14,21.428600,90.000000,-25.000000,,317,6829.600000
Bungalow,Entire home/apt,7,2020-05-01,100.000000,245,600,375.5,5,0.000000,95.000000,,,150,11682.000000
Bungalow,Entire home/apt,7,2020-06-01,100.000000,140,601,350,6,16.666700,92.000000,20.000000,,160,9095.000000
Bungalow,Entire home/apt,7,2020-07-01,100.000000,139,600,350,6,16.666700,92.000000,0.000000,,179,10396.833333
Bungalow,Entire home/apt,8,2020-05-01,100.000000,181,1000,580,7,14.285700,99.750000,,,136,9033.750000
Bungalow,Entire home/apt,8,2020-06-01,100.000000,180,1002,581,7,14.285700,99.750000,0.000000,,182,12633.000000
Bungalow,Entire home/apt,8,2020-07-01,100.000000,180,988,589.5,6,16.666700,99.750000,-12.500000,,137,10096.571429
Bungalow,Entire home/apt,9,2020-05-01,100.000000,160,801,371,4,25.000000,92.333333,,,70,9205.000000
Bungalow,Entire home/apt,9,2020-06-01,100.000000,160,799,574.5,3,0.000000,91.500000,-25.000000,,90,13090.000000
Bungalow,Entire home/apt,9,2020-07-01,100.000000,346,799,572.5,2,0.000000,93.000000,-33.333300,,60,17175.000000
Bungalow,Entire home/apt,10,2020-05-01,100.000000,600,900,750,2,0.000000,100.000000,,,30,13500.000000
Bungalow,Entire home/apt,10,2020-06-01,100.000000,599,901,750,2,0.000000,100.000000,0.000000,,22,9911.000000
Bungalow,Entire home/apt,10,2020-07-01,100.000000,600,900,750,2,0.000000,100.000000,0.000000,,30,13500.000000
Bungalow,Entire home/apt,12,2020-05-01,100.000000,480,480,480,1,100.000000,80.000000,,,1,480.000000
Bungalow,Entire home/apt,12,2020-06-01,100.000000,481,481,481,1,100.000000,80.000000,0.000000,,1,481.000000
Bungalow,Entire home/apt,12,2020-07-01,100.000000,480,480,480,1,100.000000,80.000000,0.000000,,3,1440.000000
Bungalow,Entire home/apt,16,2020-05-01,100.000000,300,334,317,1,100.000000,93.000000,,,1,167.000000
Bungalow,Entire home/apt,16,2020-06-01,100.000000,300,333,316.5,1,100.000000,93.000000,0.000000,,1,166.500000
Bungalow,Entire home/apt,16,2020-07-01,100.000000,300,334,317,1,100.000000,93.000000,0.000000,,6,951.000000
Bungalow,Private room,1,2020-05-01,100.000000,34,250,49,14,14.285700,92.800000,,,217,899.764706
Bungalow,Private room,1,2020-06-01,100.000000,34,250,48.5,13,15.384600,92.555556,-5.882400,,227,982.187500
Bungalow,Private room,1,2020-07-01,100.000000,35,250,48.5,14,14.285700,93.300000,6.250000,,226,911.294118
Bungalow,Private room,2,2020-05-01,100.000000,31,126,62.5,35,22.857100,92.166667,,,800,1049.531915
Bungalow,Private room,2,2020-06-01,100.000000,30,124,60.5,35,25.714300,92.222222,0.000000,,705,950.106383
Bungalow,Private room,2,2020-07-01,100.000000,30,126,62.5,31,29.032300,92.333333,-10.638300,,665,1032.000000
Bungalow,Private room,3,2020-05-01,100.000000,45,99,70,5,0.000000,97.000000,,,97,1377.000000
Bungalow,Private room,3,2020-06-01,100.000000,45,100,70,5,0.000000,97.000000,0.000000,,97,1377.000000
Bungalow,Private room,3,2020-07-01,100.000000,49,100,70,4,0.000000,100.000000,-20.000000,,66,1273.500000
Bungalow,Private room,4,2020-05-01,100.000000,52,200,69.5,5,20.000000,86.428571,,,120,1184.125000
Bungalow,Private room,4,2020-06-01,100.000000,51,200,70.5,5,20.000000,86.428571,0.000000,,68,793.125000
Bungalow,Private room,4,2020-07-01,100.000000,52,100,69.5,4,25.000000,86.428571,-12.500000,,61,710.857143
Bungalow,Private room,5,2020-05-01,100.000000,70,70,70,1,0.000000,,,,1,70.000000
